#,Context,Name,Version,License,Comment
1,Frontend (React UI),npm:react,18.3.1,MIT,
2,Frontend (React UI),npm:react-dom,18.3.1,MIT,
3,Backend (FastAPI API),pypi:aiortc,1.14.0,BSD-3-Clause,
4,Backend (FastAPI API),pypi:av,16.0.1,BSD-3-Clause,
5,Backend (FastAPI API),pypi:fastapi,0.115.10,MIT,
6,Backend (FastAPI API),pypi:httpx,0.27.2,BSD License,
7,Backend (FastAPI API),pypi:numpy,1.26.4,BSD-3-Clause,
8,Backend (FastAPI API),pypi:opencv-python,4.9.0.80,Apache 2.0,
9,Backend (FastAPI API),pypi:pydantic,2.12.3,MIT,
10,Backend (FastAPI API),pypi:timm,1.0.22,Apache-2.0,
11,Backend (FastAPI API),pypi:ultralytics,8.3.58,AGPL-3.0,
12,Backend (FastAPI API),pypi:uvicorn,0.38.0,BSD-3-Clause,
13,Frontend (React UI),npm:@types/react,18.3.12,MIT,
14,Frontend (React UI),npm:@types/react-dom,18.3.1,MIT,
15,Frontend (React UI),npm:@typescript-eslint/eslint-plugin,8.16.0,MIT,
16,Frontend (React UI),npm:@typescript-eslint/parser,8.16.0,BSD-2-Clause,
17,Frontend (React UI),npm:@vitejs/plugin-react,4.3.4,MIT,
18,Frontend (React UI),npm:eslint,9.17.0,MIT,
19,Backend Dev Dependencies,pypi:mypy,1.13.0,MIT,
20,Frontend (React UI),npm:prettier,3.4.2,MIT,
21,Backend Dev Dependencies,pypi:pytest,8.3.3,MIT,
22,Backend Dev Dependencies,pypi:pytest-asyncio,1.2.0,Apache-2.0,
23,Backend Dev Dependencies,pypi:reuse,4.0.3,Apache-2.0 AND CC0-1.0 AND CC-BY-SA-4.0 AND GPL-3.0-or-later,
24,Backend Dev Dependencies,pypi:ruff,0.7.0,MIT,
25,Frontend (React UI),npm:typescript,5.6.3,Apache-2.0,
26,Frontend (React UI),npm:vite,6.0.3,MIT,
27,Frontend (React UI),npm:vitest,2.1.5,MIT,
